player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against,team_goals,ag_team_goals,90m_player_goals,ag_90m_player_goals,90m_team_goals,ag_90m_team_goals
b'Vel?zquez N??ez',Sol de Améri,1.0,1.0,55.0,418.0,5.0,4.0,4.0,3.0,1.6363636363636365,1.6363636363636365,0.861244019138756,0.645933014354067
b'Aaron Villagra',Cobresal,0.0,1.0,11.0,459.0,2.0,15.0,2.0,14.0,0.0,8.181818181818182,0.39215686274509803,2.7450980392156863
b'Romiro Arias',ALDO,9.0,12.0,694.0,1202.0,20.0,32.0,11.0,20.0,1.1671469740634006,1.5561959654178674,0.8236272878535774,1.497504159733777
b'Iv?n Borghello',Bolívar,9.0,7.0,301.0,639.0,14.0,14.0,5.0,7.0,2.691029900332226,2.0930232558139537,0.704225352112676,0.9859154929577465
b'Walace',Gremio,4.0,6.0,374.0,374.0,10.0,10.0,6.0,4.0,0.9625668449197861,1.4438502673796791,1.4438502673796791,0.9625668449197861
b'Cristian Rodr?guez',IND,18.0,5.0,881.0,1277.0,30.0,14.0,12.0,9.0,1.8388195232690125,0.5107832009080591,0.845732184808144,0.6342991386061081
b'Rafael Vaz',Flamengo,4.0,1.0,191.0,106.0,6.0,5.0,2.0,4.0,1.8848167539267016,0.4712041884816754,1.6981132075471699,3.3962264150943398
b'Gast?n Campi',RAC,4.0,7.0,479.0,2248.0,49.0,37.0,45.0,30.0,0.7515657620041754,1.3152400835073068,1.8016014234875444,1.201067615658363
b'Santiago Vergini',CABJ,8.0,3.0,374.0,2626.0,42.0,29.0,34.0,26.0,1.9251336898395721,0.7219251336898396,1.1652703731911653,0.8910891089108911
b'David Colman',Cerro Porteñ,8.0,0.0,153.0,979.0,17.0,13.0,9.0,13.0,4.705882352941177,0.0,0.8273748723186926,1.195097037793667
b'Arturo Montero',UNAM,3.0,2.0,74.0,866.0,22.0,12.0,19.0,10.0,3.6486486486486487,2.4324324324324325,1.9745958429561201,1.0392609699769053
b'Tiago Cardoso',Santa Cruz F,1.0,2.0,283.0,0.0,1.0,2.0,0.0,0.0,0.31802120141342755,0.6360424028268551,0.0,0.0
b'Ra?l Olivares',Wilstermann,2.0,2.0,189.0,0.0,2.0,2.0,0.0,0.0,0.9523809523809523,0.9523809523809523,0.0,0.0
b'Juan Alvez',Fénix ,1.0,2.0,192.0,0.0,1.0,2.0,0.0,0.0,0.46875,0.9375,0.0,0.0
b'Leandro Romagnoli',SL,10.0,11.0,563.0,2264.0,41.0,34.0,31.0,23.0,1.5985790408525755,1.758436944937833,1.232332155477032,0.9143109540636042
b'Fernando M?rquez',BEL,15.0,18.0,806.0,1359.0,25.0,29.0,10.0,11.0,1.6749379652605458,2.009925558312655,0.6622516556291391,0.7284768211920529
b'Paulo C?sar Arango',Caracas,2.0,1.0,86.0,9.0,2.0,1.0,0.0,0.0,2.0930232558139537,1.0465116279069768,0.0,0.0
b'Martin Bonjour',Aucas,2.0,2.0,187.0,0.0,2.0,2.0,0.0,0.0,0.9625668449197861,0.9625668449197861,0.0,0.0
