player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against
Rodrigo Rey,GCM,27,14,1507,0,27,14
Agust?n Bouzat,DYJ,11,11,459,1063,23,16
Mauro Albertengo,RAF,3,5,275,1233,14,32
Fernando Zuqui,GCM,27,13,1373,134,27,14
Joaquin Arzura,CARP,8,5,396,1117,20,19
Ignacio Pussetto,RAF,9,17,705,803,14,32
Ra?l Poclaba,ALDO,0,0,4,1519,19,27
Ezequiel Miralles,HUR,10,8,474,1043,21,15
Mauro Marconato,CAP,0,0,15,1503,19,23
Nery Leyes,TUC,21,19,1309,198,24,19
Fernando Monetti,LAN,27,7,1414,93,28,10
Iv?n Rossi,BAN,10,16,984,524,15,20
Joel Amoroso,OBB,11,20,1425,86,11,20
Cristian Nasuti,VEL,18,15,1405,104,19,19
Lucas Salas,SMSJ,18,18,933,592,22,20
Luis ?vila,SL,0,2,58,1450,23,16
Frano Cervi,ROS,13,10,977,542,17,15
Leandro De Bortoli,TEMP,0,2,59,1452,14,21
Federico Alvarez,BEL,9,10,657,851,19,23
Leonel Mosevich,ARGJ,0,3,139,1364,11,26
Cristian Erbes,CABJ,3,1,159,1342,14,13
Federico Marcelo Anselmo,RAF,12,21,788,720,14,32
Juli?n Marchioni,EST,3,5,382,1124,25,11
Matias Vargas,VEL,0,2,32,1477,19,19
Diego Mateo,NOB,10,10,925,579,16,21
Israel Damonte,EST,23,9,1174,332,25,11
Victor Salazar,ROS,13,10,978,541,17,15
Sebasti?n Mart?nez,RAF,8,14,656,852,14,32
Ismael Qu?lez,ALDO,11,20,933,590,19,27
Mat?as Catal?n,RAF,4,16,679,829,14,32
Agust?n Sandon?,USF,7,2,326,1183,24,21
Facundo Barboza,ARGJ,3,6,183,1320,11,26
Leandro Fernandez,IND,11,7,826,673,22,12
Manuel de Iriondo,USF,1,0,23,1486,24,21
Carlos Araujo,HUR,8,9,645,872,21,15
Lucas Villarruel,HUR,6,7,403,1114,21,15
Nereo Fern?ndez,USF,24,21,1509,0,24,21
Maximiliano Lovera,ROS,1,1,46,1473,17,15
Jean Barrientos,OBB,2,8,331,1180,11,20
Ezequiel Ru?z,ARS,0,1,25,1479,21,14
Augusto Solari,EST,24,10,1291,215,25,11
Nahuel Z?rate,USF,2,1,188,1321,24,21
Ezequiel Vidal,IND,0,1,38,1461,22,12
Yeimar G?mez,ARS,2,4,143,1361,21,14
