home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
GLP,DYJ,0,3,0,0,9,10,4,5,46,54,1,1,0,0
SL,GCM,2,1,1,0,13,13,5,2,45,55,1,1,0,0
TIG,ROS,4,1,1,0,17,13,7,4,38,62,4,3,0,0
RAF,EST,1,0,1,0,10,14,5,5,58,42,3,3,0,2
IND,QUI,5,3,2,1,19,10,12,4,64,36,2,5,0,0
LAN,BAN,1,0,0,0,8,18,1,3,48,52,3,3,0,2
BEL,VEL,1,0,0,0,15,4,7,0,33,67,3,2,0,0
NOB,OBB,1,0,1,0,9,7,2,4,72,28,2,3,0,0
QUI,LAN,0,2,0,1,14,15,4,5,43,57,2,2,0,0
EST,GLP,0,0,0,0,10,8,1,3,50,50,1,4,0,0
OBB,BEL,1,0,0,0,14,19,4,3,57,43,2,5,0,1
VEL,RAF,0,0,0,1,14,12,4,4,58,42,5,2,0,0
ROS,ARS,3,1,0,0,19,10,6,3,67,33,0,4,0,0
BAN,CABJ,1,1,0,0,18,6,9,4,51,49,2,3,0,0
CARP,IND,4,1,0,0,12,13,6,5,47,53,3,3,0,0
DYJ,SL,1,3,0,0,18,10,4,6,64,36,3,4,0,0
RAC,NOB,1,1,0,0,20,6,7,3,43,57,3,2,0,0
CABJ,RAC,1,2,0,0,12,9,3,3,60,40,3,2,0,0
ARS,CARP,1,1,1,0,14,19,7,6,34,66,1,3,0,0
EST,VEL,3,2,0,1,22,7,9,3,58,42,3,4,0,0
RAF,OBB,0,0,0,0,20,10,6,3,61,39,2,1,0,0
IND,ROS,2,0,0,0,16,13,7,2,59,41,1,4,1,0
SL,GLP,0,2,0,0,11,14,3,5,60,40,2,1,0,0
TIG,DYJ,2,1,0,0,14,19,6,6,43,57,0,4,0,0
BEL,RAC,1,4,0,0,10,18,2,10,43,57,2,2,2,0
CABJ,QUI,1,0,0,0,16,6,3,1,62,38,2,5,0,0
LAN,CARP,1,1,0,0,12,18,2,5,39,61,4,4,0,0
ARS,GCM,3,0,0,0,9,15,6,5,40,60,0,3,0,0
NOB,BAN,0,3,1,0,12,15,6,11,61,39,0,3,0,0
SL,OBB,2,0,1,0,11,6,5,0,58,42,4,0,0,0
GLP,VEL,2,0,0,0,11,8,4,2,46,54,2,4,0,0
BAN,BEL,2,2,1,0,22,16,9,6,66,34,1,2,0,0
SL,TIG,0,2,0,0,13,6,6,5,70,30,1,2,0,0
DYJ,ARS,2,1,1,0,15,12,6,2,59,41,1,2,0,1
OBB,EST,1,2,0,0,16,10,4,4,56,44,4,1,1,0
QUI,NOB,1,1,0,0,14,12,5,2,40,60,0,2,0,0
CARP,CABJ,1,1,0,0,15,5,5,4,56,44,3,2,1,1
RAC,RAF,0,2,0,0,29,17,7,3,51,49,2,1,0,0
ROS,LAN,1,2,0,0,18,13,9,7,50,50,2,2,0,0
GCM,IND,2,2,0,0,23,11,6,4,48,52,2,4,0,1
TIG,GLP,1,0,1,0,14,12,3,2,41,59,5,3,0,0
LAN,GCM,3,3,0,0,13,28,6,10,47,53,2,3,1,0
VEL,OBB,4,1,0,0,13,14,7,2,55,45,1,2,0,0
BEL,QUI,1,1,0,0,17,10,3,2,55,45,0,2,0,0
EST,RAC,0,4,0,0,10,11,2,5,62,38,0,0,0,0
RAF,BAN,2,2,0,0,18,12,6,4,46,54,3,1,0,1
IND,DYJ,1,1,0,0,19,14,7,4,56,44,1,3,0,0
CABJ,ROS,2,1,0,0,13,6,4,1,64,36,3,4,0,1
NOB,CARP,0,1,0,0,5,13,2,4,59,41,0,1,0,0
ARS,SL,0,0,0,0,13,12,5,2,51,49,2,2,0,0
GCM,TIG,4,3,0,0,25,8,9,4,74,26,4,3,0,1
GLP,OBB,0,0,0,0,11,4,2,3,59,41,0,2,1,0
QUI,RAF,0,0,0,0,18,7,9,2,49,51,0,2,0,0
BAN,EST,1,1,0,0,18,10,7,4,60,40,1,1,0,1
SL,IND,1,2,0,1,12,12,3,4,51,49,4,2,0,0
DYJ,LAN,1,2,1,0,19,9,2,4,64,36,2,4,1,0
ROS,NOB,2,0,0,0,9,11,3,1,33,67,2,3,0,2
RAC,VEL,2,0,0,0,11,14,5,4,40,60,3,6,0,0
CARP,BEL,3,0,0,0,11,9,3,3,63,37,1,4,0,0
GCM,CABJ,2,3,0,0,17,18,9,9,45,55,1,3,0,0
TIG,ARS,1,1,0,0,14,13,6,5,55,45,4,2,0,0
BEL,ROS,1,0,0,0,15,11,1,2,39,61,2,1,0,0
IND,TIG,3,1,0,0,20,4,9,1,65,35,2,2,0,0
VEL,BAN,1,0,0,0,13,10,4,2,43,57,1,3,0,0
NOB,GCM,2,2,0,0,19,9,8,4,49,51,0,1,0,0
OBB,RAC,1,1,0,0,25,13,6,3,49,51,5,2,0,1
EST,QUI,1,0,0,0,11,13,4,4,65,35,3,4,0,1
LAN,SL,1,0,0,0,12,9,2,1,42,58,5,1,0,0
CABJ,DYJ,2,0,0,0,17,11,3,2,48,52,2,4,0,0
RAF,CARP,1,2,0,0,14,23,4,5,38,62,4,3,0,0
ARS,GLP,1,0,0,0,15,9,6,1,42,58,0,0,0,0
BAN,OBB,3,0,0,0,12,10,4,2,59,41,0,2,0,0
GCM,BEL,1,3,0,0,11,19,3,9,64,36,4,2,0,0
GLP,RAC,0,1,0,0,13,11,3,3,55,45,2,4,0,0
QUI,VEL,2,1,0,0,10,8,7,1,28,72,3,3,0,0
ROS,RAF,0,2,0,0,6,13,2,8,53,47,0,2,0,0
SL,CABJ,2,0,0,0,9,7,3,0,41,59,1,3,0,0
LAN,ARS,3,2,0,0,15,9,7,4,60,40,3,3,0,0
RAF,GCM,3,4,0,0,24,17,10,5,52,48,2,3,0,0
OBB,QUI,2,1,0,0,9,10,7,2,46,54,2,3,0,0
BEL,DYJ,3,0,0,0,16,11,7,1,34,66,2,1,0,0
IND,GLP,0,1,0,0,16,14,5,6,59,41,1,0,0,0
EST,ROS,1,0,0,0,10,9,3,2,47,53,3,4,0,0
RAC,BAN,1,0,0,0,6,17,4,8,36,64,2,2,0,0
CABJ,TIG,2,0,1,0,14,6,8,0,65,35,4,4,0,0
VEL,CARP,1,1,0,0,9,13,3,6,49,51,5,5,0,0
NOB,SL,3,1,0,0,11,12,4,4,49,51,0,0,0,0
TIG,LAN,3,0,0,0,16,6,7,2,53,47,3,2,0,1
CARP,EST,0,1,0,0,13,10,2,5,68,32,3,1,0,1
ARS,IND,1,1,0,0,7,8,5,1,39,61,1,3,0,0
DYJ,RAF,2,1,0,1,12,17,5,5,53,47,2,2,0,0
ROS,VEL,0,0,0,0,14,8,5,4,51,49,3,3,0,0
GLP,BAN,1,1,0,0,16,13,8,6,44,56,2,2,0,0
SL,BEL,4,0,1,0,9,4,5,3,77,23,1,1,0,1
QUI,RAC,0,1,1,0,16,17,4,8,50,50,0,2,1,1
GCM,EST,1,1,0,0,13,10,7,2,44,56,2,3,0,0
TIG,NOB,1,2,0,0,16,11,8,6,56,44,1,2,0,1
CARP,OBB,1,1,0,0,14,10,7,4,68,32,3,1,0,1
ARS,CABJ,1,1,0,0,14,21,5,8,40,60,1,3,0,0
IND,LAN,4,1,0,0,14,9,9,3,51,49,2,2,0,2
DYJ,NOB,1,0,0,0,13,20,5,3,38,62,3,2,1,0
BAN,QUI,3,1,1,0,17,10,5,4,66,34,2,2,0,0
RAF,SL,2,0,0,0,22,4,4,1,50,50,0,1,0,0
OBB,ROS,1,1,0,0,11,13,5,5,46,54,1,3,0,0
VEL,GCM,1,4,0,1,15,14,4,9,55,45,5,2,0,0
LAN,GLP,2,0,0,0,17,10,7,4,45,55,1,0,0,0
BEL,TIG,1,2,0,0,10,15,1,7,48,52,4,5,0,0
EST,DYJ,0,0,0,0,16,12,2,6,57,43,1,3,0,0
CABJ,IND,3,1,0,0,14,8,3,1,50,50,3,1,0,1
RAC,CARP,1,0,0,0,9,7,1,3,43,57,3,4,0,0
NOB,ARS,2,4,0,0,12,13,7,6,66,34,2,3,1,0
GLP,QUI,3,0,1,0,10,10,6,1,48,52,1,3,0,0
DYJ,VEL,0,2,0,0,17,14,3,5,47,53,1,5,0,0
SL,EST,4,0,2,0,9,10,7,5,52,48,4,4,0,0
IND,NOB,1,0,0,0,11,5,4,4,42,58,1,1,1,0
ROS,RAC,0,3,0,0,17,11,2,5,56,44,3,1,0,0
TIG,RAF,3,1,0,0,13,22,3,5,43,57,6,3,0,0
CARP,BAN,3,2,1,1,12,12,6,6,54,46,3,2,1,0
LAN,CABJ,2,2,0,0,14,18,7,7,39,61,2,5,0,1
GCM,OBB,0,3,0,1,16,15,6,7,53,47,2,1,0,0
ARS,BEL,0,2,0,0,11,14,0,5,57,43,3,3,0,0
EST,TIG,4,2,0,0,13,6,6,2,63,37,3,4,0,1
VEL,SL,0,2,0,0,12,6,3,3,66,34,2,1,0,0
RAF,ARS,1,6,0,0,14,16,7,9,62,38,4,0,0,0
BAN,ROS,2,3,1,0,14,10,5,4,64,36,1,4,0,0
OBB,DYJ,0,0,0,0,13,10,2,5,49,51,2,3,0,0
BEL,IND,4,0,0,0,18,10,8,2,32,68,1,3,0,1
